zip_code;city;lat;lng;ne_lat;ne_lng;sw_lat;sw_lng
13125;Berlin;52.6326;13.4776;52.6753;13.5232;52.5879;13.4364
15566;Schöneiche;52.481;13.7048;52.5108;13.7439;52.4546;13.6673
16356;Willmersdorf;52.6206;13.6741;52.7136;13.8584;52.5454;13.4967
16835;Wulkow;52.9626;12.9694;53.0742;13.0572;52.8426;12.8574
16928;Wilmersdorf;53.1345;12.1806;53.272;12.4053;53.0145;12.0155
17209;Zislow;53.3247;12.4535;53.4601;12.7226;53.2443;12.2747
16945;Meyenburg;53.3078;12.1966;53.3714;12.3526;53.2006;12.014
16831;Zühlen;53.1122;12.9005;53.2;13.0281;53.0226;12.771
16837;Zempow;53.1613;12.752;53.2264;12.8743;53.0698;12.641
19386;Werder;53.4518;12.0747;53.5449;12.2008;53.3438;11.903
19395;Wunderfeld;53.4334;12.2535;53.5962;12.3632;53.3178;12.1159
19300;Zierzow;53.2778;11.6271;53.3417;11.7904;53.1214;11.4571
15344;Strausberg;52.5601;13.9088;52.6037;14.0199;52.514;13.8088
15377;Waldsieversdorf;52.5834;14.0774;52.6528;14.1794;52.5085;13.9248
15898;Ossendorf;52.0691;14.6343;52.13;14.7598;51.9998;14.4792
21730;Balje;53.8479;9.1117;53.8811;9.19133;53.7921;8.99472
27499;Hamburg-Insel Neuwerk;53.9204;8.50016;53.9318;8.51781;53.9124;8.48674
25718;Friedrichskoog;54.0057;8.90901;54.0737;8.97662;53.9517;8.67196
25551;Winseldorf;53.9936;9.63046;54.0495;9.71292;53.9259;9.53938
24649;Wiemersdorf;53.9505;9.88897;53.988;9.95728;53.9307;9.85149
25727;Süderhastedt;54.0499;9.19518;54.094;9.26056;54.0046;9.12626
25560;Warringholz;54.0506;9.46822;54.0996;9.55956;53.9774;9.28763
24635;Rickling;54.0133;10.1878;54.0408;10.294;53.9687;10.1155
24539;Neumünster;54.0463;9.99305;54.0731;10.0587;54.0174;9.94429
24613;Wiedenborstel;54.0695;9.77968;54.1128;9.8605;54.0302;9.70305
25704;Wolmersdorf;54.104;9.06229;54.1508;9.2057;54.0382;8.93211
25785;Sarzbüttel;54.1379;9.19486;54.1944;9.24619;54.1026;9.12783
24819;Todenbüttel;54.1528;9.56523;54.1952;9.662;54.1107;9.5113
23966;Wismar;53.8232;11.3175;53.9105;11.5319;53.7861;11.2863
23936;Zehmen;53.8465;11.1873;53.9547;11.3213;53.7501;10.982
19412;Zaschendorf;53.7101;11.6897;53.7963;11.8103;53.6385;11.577
19069;Zickhusen;53.7272;11.4014;53.7776;11.5003;53.6679;11.2895
24637;Schillsdorf;54.1062;10.1306;54.1509;10.1709;54.0836;10.0655
23623;Jeshop;54.0035;10.5536;54.0751;10.6549;53.937;10.4482
23683;Scharbeutz;54.0253;10.7402;54.0596;10.7731;54.0064;10.7161
23570;Lübeck;53.96;10.8536;53.9943;10.9037;53.9322;10.8165
23715;Bosau;54.0966;10.4973;54.1328;10.6001;54.0585;10.4166
23948;Wohlenhagen;53.9517;11.122;54.0139;11.2668;53.8875;11.0165
